Fellow	Year	Citation
Heiner Ryssel	1999	For introduction of ion implantation technology into the German Semiconductor Industry. 
Sei-Hyung Ryu	2023	For contributions to silicon carbide power device technology 
Victor Ryzhii	2004	For contributions to the development of quantum well infrared photodetectors and quantum dot infrared photodetectors. 
Theodore Rzeszewski	1994	"For contributions to the design and development of frequency-synthesized tuning, and of ""flesh tone"" correction for television receivers, and of high-definition television systems. "
AHMAD SAFARI	2005	For contributions to the development of piezoelectric tranducers. 
SAFIEDDIN SAFAVI-NAEINI	2015	For contributions to gigahertz to terahertz integrated antenna systems 
DAN SCHONFELD	2010	For contributions to image and video analysis 
SIRISH SHAH	2020	For contributions to process and performance monitoring 
ATIF SHAMIM	2024	For contributions in the field of antenna-on-chip and antenna-in-package 
ANDREI SHKEL	2014	For contributions to micromachined gyroscopes 
PETER SIEGEL	2001	For contributions to the field of millimeter and submillimeter-wave radiometry, technology and spaceborne instruments. 
JOHN SMITH	2007	For contributions to multimedia content analysis, retrieval and adaptation 
PAVLOS SOTIRIADIS	2023	For contributions to advanced frequency synthesis and high-speed data buses 
DANAIL STOYANOV	2024	For contributions to intelligent computer-assisted surgical and diagnostical systems 
HONG-BO SUN	2018	For contributions to laser nanofabrication and ultrafast spectroscopy 
S Michael Saad	1997	For contributions to the analysis, design and development of waveguide components. 
Ali Saberi	1998	For contributions to singular perturbation theory and nonlinear control. 
Rajiv Sabherwal	2019	For contributions to research on management of knowledge and information technologies 
Daniel Sabin	2016	For leadership in power quality database management and analysis software 
Krishan Sabnani	1991	For contributions to research and development in communications protocols. 
Alain Sabot	2006	For contributions to high voltage gas insulated substations and transmission lines. 
Manoj Sachdev	2012	For contributions to test methodology for very large scale integrated circuits 
M Sachdev	1983	For contributions to computer applications for power system analysis and protection. 
Edward Sacher	1997	For contributions to the relationship between molecular structure and dielectric properties. 
Edgar Sack	1968	For contributions to control systems and pattern recognition, and for his vigorous leadership in the integrated circuit field. 
P Sadayappan	2015	For contributions to parallel programming tools for high-performance computing 
Brian Sadler	2007	For contributions to signal processing and sensor networks 
Maryam Saeedifard	2022	For contributions to modulation, control and protection of multilevel converters for high-voltage DC transmission 
M Safiuddin	1993	For contributions to advanced industrial control systems for processes and electric drives, and for leadership in continuing education. 
Michael Safonov	1989	For contributions to the theory of robust multivariable control. 
Robert Safranek	2015	For contributions to perceptual image and video compression and quality 
Tapan Saha	2019	For contributions to monitoring and assessment of power transformers 
Samar Saha	2019	For contributions to compact modeling of silicon field-effect transistors 
Punam Saha	2020	For contributions to quantitative bone microstructural imaging and analysis 
Debanjan Saha	2008	For contributions to traffic management and intelligent network control planes 
Alan Sahakian	2007	For contributions to electrophysiology of atrial cardiac arrhythmias 
John Sahalos	2006	For contributions to antenna analysis and design. 
Sartaj Sahni	1988	For contributions to computer algorithms, computer-aided design, and large-scale systems. 
George Sai-Halasz	1991	For contributions to device miniaturization and novel device concepts. 
Amir Said	2014	For contributions to compression and processing of images and videos 
Mehrdad Saif	2024	For contributions to monitoring, diagnosis and prognosis in cyber-physical health systems 
Tara Sainath	2022	For contributions to deep learning for automatic speech recognition 
Tadao Saito	2000	For contribution to digital switching networks. 
Kazuhiro Saitou	2018	For contributions in computational assembly and disassembly design of mechanical products 
Paul Sajda	2012	For development of brain-machine interfaces for image and media search 
Hideaki Sakai	2007	For contributions to statistical and adaptive signal processing 
