Fellow,Year,Country,University,Citation
Koji Yamada,2024,Japan,National Institute of Information and Communications Technology,For contributions to silicon photonics 
Ruqiang Yan,2022,China,Xi'an Jiaotong University,For contributions to defect/fault detection and diagnosis of rotating machines 
Zheng Yan,2024,China,Xidian University,For contributions to trust management in communications and networking 
Ming-Hsuan Yang,2019,USA,"University of California, Merced",For contributions to object tracking and face recognition 
Fan Yang,2019,China,Tsinghua University,For contributions to surface electromagnetics for antennas 
Yongyi Yang,2021,USA,Illinois Institute of Technology,For contributions to medical image recovery and analysis 
Laurence Tianruo Yang,2020,Canada,St. Francis Xavier University,For contributions to modeling and design for cyber-physical-social systems 
Zhiping Yang,2022,United States,Google,For contributions to signal and power integrity in high-performance data center electronics 
Lie-Liang Yang,2016,United Kingdom,University of Southampton,For contributions to multicarrier communications and wireless transceivers 
Shiwen Yang,2020,China,University of Electronic Science and Technology of China,For development of time-modulated antenna arrays 
Xiaokang Yang,2019,China,Shanghai Jiao Tong University,For contributions to perceptual modeling and processing of visual signals 
Liuqing Yang,2015,United States,Colorado State University,For contributions to theory and practice of ultra-wideband communications 
Kun Yang,2023,United Kingdom,University of Essex,For contributions to resource management in wireless networks 
Ruigang Yang,2022,United States,University of Kentucky,For contributions to 3D computer vision and autonomous driving 
Lan Yang,2020,United States,Washington University in St. Louis,For contributions to optical sensing and non-Hermitian photonics 
Chenguang Yang,2024,China,Southern University of Science and Technology,For contributions to control and learning of mechatronic systems 
Jun Yang,2023,United States,Duke University,For contributions to disturbance observer-based control 
Ping Yang,2023,China,University of Electronic Science and Technology of China,"For seminal contributions to radiative transfer, and remote sensing of ice clouds and dust aerosols "
Halim Yanikomeroglu,2017,Canada,Carleton University,For contributions to wireless access architectures in cellular networks 
Georgios N. Yannakakis,2024,Denmark,IT University of Copenhagen,For contributions to affective computing and artificial intelligence applied to games 
Steve Yao,2019,United States,Arizona State University,For leadership in opto-electronic oscillator and optical polarization devices 
Kui Yao,2024,Singapore,"Institute of Materials Research and Engineering, A*STAR",For contributions to the development of advanced ferroelectric thin films and their sensor applications 
Olexander Yarovyi,2015,Netherlands,Delft University of Technology,For leadership in ultra-wideband imaging for ground penetrating radar and microwave scanners 
Hiroto Yasuura,2019,Japan,Kyushu University,For contributions to energy-efficiency and dependability of Very Large Scale Integration designs 
Birsen Yazici,2021,United States,Rensselaer Polytechnic Institute,For contributions to synthetic aperture radar and passive imaging 
Jong Chul Ye,2020,South Korea,KAIST,For contributions to signal processing and machine learning for bio-medical imaging 
Xiaoning Ye,2022,China,Zhejiang University,"For contributions to high-speed interconnect design, optimization, and measurement methods "
Zuo-Guang Ye,2017,Canada,Concordia University,For contributions to piezoelectric and ferroelectric materials for high-performance electromechanical transducers 
Jieping Ye,2020,United States,University of Michigan,For contributions to the methodology and application of machine learning and data mining 
Anthony Yen,2018,United States,ASML/IMEC,For leadership in extreme-ultraviolet lithography for high volume manufacture of integrated circuits 
Bulent Yener,2015,United States,Rensselaer Polytechnic Institute,For contributions to network design optimization and security 
Kiat-Seng Yeo,2016,Singapore,Singapore University of Technology and Design,For contributions to low-power integrated circuit design 
John Yeow,2024,Canada,University of Waterloo,For contributions to the understanding and applications of nanostructures and nanocomposites 
Arie Yeredor,2024,Israel,Tel Aviv University,For contributions to blind source separation 
Minerva Yeung,2019,United States,Intel Corporation,For leadership in multimedia signal processing 
Wang Yi,2015,Sweden,Uppsala University,For contributions to safety-critical real-time systems 
Shen Yin,2023,China,Northeastern University,For contributions to fault diagnosis and fault-tolerant control of complex systems 
Zhinong Ying,2021,China,Zhejiang University,For contributions to mobile terminal antenna technology 
Lei Ying,2022,United States,University of Michigan,For contributions to resource allocation in cloud computing systems and wireless networks 
Dana Yoerger,2021,United States,Woods Hole Oceanographic Institution,For development of autonomous underwater vehicles for deep ocean exploration and science 
Eiichi Yoshida,2019,Japan,National Institute of Advanced Industrial Science and Technology (AIST),For leadership in the development of modular reconfigurable robotic systems 
Nobuyuki Yoshikawa,2024,Japan,Yokohama National University,For contributions to the development of low-power superconductive digital circuits and their application to reversible-computing 
Marwan Younis,2019,Germany,German Aerospace Center (DLR),For contributions to digital beam-forming techniques for spaceborne radar systems 
